termo_busca,produto,tipo,gateway,nicho,temperatura,mencoes,faixa_preco,primeira_vez_visto,rodadas_visto,descricao,evidencia_url
"stalkeia","Stalkeia","marca","PerfectPay","Espionagem e rastreamento","morna","16","R$ 87;00","2026-09-04","5","Realizei a compra do produto &#39;Stalkea AI&#39; intermediado pela plataforma Perfect Pay. O produto trata-se de uma [Editad... Exijo estorno de compra de produto [Editado pelo Reclame Aqui] intermediado pela Perfect Pay","https://www.reclameaqui.com.br/empresa/perfectpay/exijo-estorno-de-compra-de-produto-editado-pelo-reclame-aqui-intermediado-pela-perfect-pay_dDCHm8bcfbJi5cGU/"
"método atlas","Método Atlas","marca","PerfectPay","Educação e consultoria","fria","5","","2026-09-04","4","Fiz uma compra desse tal método atlas; não cumpriu com prometido ;tento falar com suporte wattsap; e-mail e simplesmente desa... Clonado cartão","https://www.reclameaqui.com.br/empresa/perfectpay/clonado-cartao_bkNp4YTe6nDKqL90/"
"digital","digital","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","3","","2026-09-04","4","Quero solicitar um reembolso; pois eu comprei um produto digital; já solicitei o suporte do Produtor; mas não me deram respos... Solicitação de reembolso por produto digital não respondido pelo produtor e suspeita de [Editado pelo Reclame Aqui].","https://www.reclameaqui.com.br/empresa/perfectpay/solicitacao-de-reembolso-por-produto-digital-nao-respondido-pelo-produtor-e-suspeita-de-editado-pelo-reclame-aqui_4rad2Noh-3EVPiq-/"
"produto malu","Produto Malu","marca","PerfectPay","Ferramentas / Aplicativos","fria","2","","2026-09-04","4","Título: Produto Malu não correspondeu às minhas expectativas e exige novo pagamento para ativaçãoRealizei a compra ... Produto Malu exige novo pagamento para ativação; solicito cancelamento e reembolso.","https://www.reclameaqui.com.br/empresa/perfectpay/produto-malu-exige-novo-pagamento-para-ativacao-solicito-cancelamento-e-reembolso_EGQhjKMbfuFFizV7/"
"plataforma tikspy pelo valor de r","plataforma TikSpy pelo valor de R","angulo","PerfectPay","Espionagem e rastreamento","fria","1","R$ 360;24","2026-09-04","4","No dia 24/08/2026 adquiri a plataforma TikSpy pelo valor de R$ 360;24Após acessar a plataforma; concluí que ela não... Dificuldade em cancelar compra e solicitar reembolso de plataforma digital","https://www.reclameaqui.com.br/empresa/perfectpay/dificuldade-em-cancelar-compra-e-solicitar-reembolso-de-plataforma-digital_MNsF1CWfu9nJFQaI/"
"mentoria nova profissão","Mentoria Nova Profissão","marca","Cakto","Educação e consultoria / Mentoria","fria","2","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/reclamacao-sobre-mentoria-nova-profissao-propaganda-enganosa-e-falha-na-intermediacao-de-reembolso-pela-cakto-pay_WVFYGdZmjsyF9dv0/"
"auks bot","Auks Bot","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","R$ 277;00;","2026-09-04","4","Comprei o produto Auks Bot; pelo valor de R$ 277;00; com pagamento processado pela Perfect Pay.Em 27/08/2026; ainda... Reclamação sobre reembolso negado pela Perfect Pay para o produto Auks Bot","https://www.reclameaqui.com.br/empresa/perfectpay/reclamacao-sobre-reembolso-negado-pela-perfect-pay-para-o-produto-auks-bot_KqYsYdFXN1z0_dI5/"
"curso de mandarim","Curso de Mandarim","marca","Cakto","Educação / Idiomas","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/editado-pelo-reclame-aqui-no-face-book-compra-de-curso-de-mandarim-2099-02092026-190111_uKMKomnheob91qjy/"
"e solicita","e solicita","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Fiz uma compra pela cakto Detalhes do PedidoPedido: *****Data: 02/09/2026Produto: 100 Remédios Naturais ... Reclamação sobre não recebimento de produto e solicitação de estorno do valor pago via PIX.","https://www.reclameaqui.com.br/empresa/cakto-pay/reclamacao-sobre-nao-recebimento-de-produto-e-solicitacao-de-estorno-do-valor-pago-via-pix_19VMI-vOfIlR0IIm/"
"comunidade mvz no dia 27","Comunidade MVZ no dia 27","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","R$ 248;89;","2026-09-04","4","Realizei a compra do produto Comunidade MVZ no dia 27/08/2026; no valor de R$ 248;89; através da plataforma Cakto. Dentro do ... Cliente solicita cancelamento e reembolso de curso online após ser direcionado entre plataforma e produtor.","https://www.reclameaqui.com.br/empresa/cakto-pay/cliente-solicita-cancelamento-e-reembolso-de-curso-online-apos-ser-direcionado-entre-plataforma-e-produtor_7fIx89P-1ZpAApHx/"
