termo_busca,produto,tipo,gateway,nicho,temperatura,mencoes,faixa_preco,primeira_vez_visto,rodadas_visto,descricao,evidencia_url
"stalkeia","Stalkeia","marca","PerfectPay","Espionagem e rastreamento","fria","2","R$ 47","2026-08-30","8","","https://www.reclameaqui.com.br/perfectpay/propaganda-enganosa-do-e-solicitacao-de-reembolso-do-valor-pago_yID1cmkfVopy5OrZ/"
"converza.io","Converza.io","marca","Cakto","Chatbots / Automação de mensagens","fria","1","","2026-08-31","2","","https://www.reclameaqui.com.br/cakto-pay/exijo-reembolso-servico-nao-funciona-e-suporte-nao-responde_OPi-rimJXtkjo2yB/"
"comunidade vsa","COMUNIDADE VSA","marca","Cakto","Marketing / Comunidades de negócios","fria","1","R$ 248;89.","2026-08-31","2","","https://www.reclameaqui.com.br/cakto-pay/solicitacao-de-reembolso-de-compra-com-erro-de-saldo-na-conta-do-vendedor_e5d-tH3gUGahNktM/"
"retrato da sua alma gêmea","Retrato da Sua Alma Gêmea","marca","Cakto","Arte personalizada / IA generativa","fria","1","R$ 48;89","2026-08-31","2","","https://www.reclameaqui.com.br/cakto-pay/editado-pelo-reclame-aqui-e-solicitacao-de-estorno-para-produto-retrato-da-sua-alma-gemea_H8ihRLGIEQMZ9WSb/"
"pack canva happy hour","Pack Canva Happy Hour","marca","Cakto","PLR / Produtos digitais para revenda","fria","1","R$ 15;15","2026-08-31","2","","https://www.reclameaqui.com.br/cakto-pay/solicitacao-de-cancelamento-e-reembolso-de-cursos-online-apos-arrependimento-de-compra_-CZPnDHntp_r19_O/"
"fica saindo e entrando sozinho","fica saindo e entrando sozinho","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-08-31","1","","https://www.reclameaqui.com.br/perfectpay/nao-gostei-do-app-fica-saindo-e-entrando-sozinho_UkdzKQ86egq0egAP/"
"método atlas","Método Atlas","marca","PerfectPay","Educação e consultoria","fria","1","","2026-08-31","1","Fiz uma compra desse tal método atlas; não cumpriu com prometido ;tento falar com suporte wattsap; e-mail e simplesmente desativaram as contas ;já procurei uma advogada e delegacia pra denunciar. Não caiam é [Editado pelo Reclame Aqui] RA Ads","https://www.reclameaqui.com.br/perfectpay/compra-do-metodo-atlas-nao-cumpre-o-prometido-e-suporte-desativado_wzci0DCEtGCFBRc6/"
"interactive live","Interactive Live","angulo","PerfectPay","Espionagem e rastreamento","fria","1","","2026-08-31","1","Comprei o produto "Interactive Live" através da plataforma Perfect Pay; que atuou como processadora de pagamento da venda. O produto recebido não correspondeu ao que foi anunciado/esperado; e eu solicitei o cancelamento/reembolso ainda dentro do prazo de garantia de 7 dias previsto no site/checkout; que também é assegurado pelo direito de arrependimento do art. 49 do Código de Defesa do Consumidor para compras feitas fora do estabelecimento comercial (como é o caso de compras online). Esse prazo","https://www.reclameaqui.com.br/perfectpay/reembolso-negado-e-prazo-expirado-devido-a-burocracia-da-perfect-pay_wFj48yi7DgllZO-Z/"
"low ticket do zero 2.0 no dia 30","Low Ticket do Zero 2.0 no dia 30","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-08-31","1","Solicitação de cancelamento e reembolso negada por falta de saldo na conta do produtor. Não respondida CAKTO PAY Rio de Janeiro - RJ 31/08/2026 às 17:20","https://www.reclameaqui.com.br/cakto-pay/solicitacao-de-cancelamento-e-reembolso-negada-por-falta-de-saldo-na-conta-do-produtor_g_uRVUXcpBO7YtT5/"
"um aplicativo","um aplicativo","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-08-31","1","Fiz uma compra de um aplicativo; porém o mesmo não funciona; entrei em contato com a cakto por email; entrei em contato pelo suporte da plataforma e não me respondem; foi uma compra de +- 840 reais Quero o reembolso da minha compra: Dados da compra: Poxa; vou te ajudar a resolver isso! Me informe: Qual e-mail você usou na compra?","https://www.reclameaqui.com.br/cakto-pay/reclamacao-sobre-aplicativo-nao-funcional-e-falta-de-resposta-do-suporte-para-reembolso_vE-W5K4jwJY0jtXa/"
